Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.SW_FT1731, 9.91821E-005,   180.00, 7.62939E-006,   180.00, 6.82394E-005,    63.43,          0,     0.00, 9.77039E-005,   141.34, 9.91821E-005,     0.00, 7.62939E-006,     0.00, 6.82394E-005,  -116.57,          0,     0.00, 9.77039E-005,   -38.66
Line.SW_FT1683, 0.000102359,   -63.43, 0.000105991,   120.26, 6.82394E-005,   116.57,          0,     0.00, 7.19756E-005,   122.01, 0.000102359,   116.57, 0.000105991,   -59.74, 6.82394E-005,   -63.43,          0,     0.00, 7.19756E-005,   -57.99
Line.SW_FA8268,      99.49,   154.97,    99.4907,    34.97,    99.4907,   -85.02,          0,     0.00, 0.00197884,   -34.79,      99.49,   -25.03,    99.4907,  -145.03,    99.4907,    94.98,          0,     0.00, 0.00197884,   145.21
Line.SW_FIC1810, 3.8147E-005,     0.00, 9.28156E-005,    80.54, 3.05176E-005,     0.00,          0,     0.00, 0.000124198,    47.49, 3.8147E-005,   180.00, 9.28156E-005,   -99.46, 3.05176E-005,   180.00,          0,     0.00, 0.000124198,  -132.51
Transformer.T_FF3296,    0.49143,   -25.01,    0.49143,  -145.01,    0.49143,    94.99, 3.55412E-007,  -173.42, 2.59581E-013,   -61.15,    17.8467,   155.00,    17.8467,    35.00,    17.8467,   -85.00, 1.29071E-005,     6.58, 9.29268E-012,   -62.49
Transformer.T_FT1678,   0.500185,   -24.92,   0.500185,  -144.92,   0.500185,    95.08, 3.07632E-007,  -174.33, 2.25702E-013,   -61.82,    18.1646,   155.08,    18.1646,    35.08,    18.1646,   -84.92, 1.11719E-005,     5.67, 7.98261E-012,   -62.89
Transformer.T_FT1731,    1.90717,   -24.83,    1.90717,  -144.83,    1.90717,    95.17, 1.00573E-006,  -174.28, 7.18492E-013,   -61.66,    69.2605,   155.17,    69.2605,    35.17,    69.2605,   -84.83, 3.65241E-005,     5.72, 2.62417E-011,   -62.10
Transformer.T_FM0342,    1.83202,   -25.04,    1.83202,  -145.04,    1.83202,    94.96, 1.37493E-006,  -172.48, 1.00868E-012,   -60.46,    66.5311,   154.96,    66.5311,    34.96,    66.5312,   -85.04, 4.99316E-005,     7.52, 3.53915E-011,   -62.45
Transformer.T_FP5503,    5.51425,   -25.02,    5.51425,  -145.02,    5.51425,    94.98, 4.05092E-006,  -173.31, 2.96013E-012,   -61.47,    200.254,   154.98,    200.254,    34.98,    200.254,   -85.02, 0.000147112,     6.69, 1.05861E-010,   -62.77
Transformer.T_FIC1143,    5.50073,   -25.03,    5.50072,  -145.03,    5.50073,    94.97, 4.09695E-006,  -172.87, 2.9959E-012,   -61.06,    199.763,   154.97,    199.763,    34.97,    199.763,   -85.03, 0.000148784,     7.13, 1.06982E-010,   -62.67
Transformer.T_FT6848,    1.10406,   -25.01,    1.10406,  -145.01,    1.10406,    94.99, 8.07008E-007,  -173.46, 5.95048E-013,   -62.82,    40.0949,   154.99,    40.0949,    34.99,    40.0949,   -85.01, 2.93071E-005,     6.54, 2.10235E-011,   -63.16
Transformer.T_FP8139,    5.50221,   -25.03,     5.5022,  -145.03,    5.50221,    94.97, 4.0845E-006,  -173.24, 3.01868E-012,   -60.84,    199.817,   154.97,    199.817,    34.97,    199.817,   -85.03, 0.000148332,     6.76, 1.0628E-010,   -62.34
Transformer.T_FT6778,    3.66419,   -25.04,    3.66419,  -145.04,    3.66419,    94.96, 2.70182E-006,  -173.52, 1.97534E-012,   -62.24,    133.068,   154.97,    133.068,    34.97,    133.068,   -85.03, 9.81188E-005,     6.48, 6.99602E-011,   -63.77
Transformer.T_FZ1928,    5.49405,   -25.04,    5.49404,  -145.04,    5.49405,    94.96, 4.09248E-006,  -172.90, 3.0115E-012,   -59.99,     199.52,   154.96,     199.52,    34.96,     199.52,   -85.04, 0.000148622,     7.10, 1.06571E-010,   -62.83
Transformer.T_FT1738,    1.16392,   -24.75,    1.16392,  -144.75,    1.16392,    95.25, 4.46144E-007,  -176.77, 3.31304E-013,   -64.26,    42.2687,   155.25,    42.2687,    35.25,    42.2687,   -84.75, 1.62021E-005,     3.23, 1.15493E-011,   -65.58
Transformer.T_FIC1411,   0.366959,   -25.03,   0.366958,  -145.03,   0.366959,    94.97, 2.70276E-007,  -173.51, 1.99114E-013,   -61.49,    13.3264,   154.97,    13.3264,    34.97,    13.3264,   -85.03, 9.81527E-006,     6.49, 7.08622E-012,   -63.18
Transformer.T_FP4629,   0.737145,   -25.01,   0.737145,  -145.01,   0.737145,    94.99, 5.33118E-007,  -173.42, 3.89866E-013,   -61.57,      26.77,   155.00,      26.77,    35.00,      26.77,   -85.00, 1.93606E-005,     6.58, 1.37287E-011,   -62.64
Transformer.T_FP7483,    3.77636,   -24.88,    3.77636,  -144.88,    3.77636,    95.12, 2.15911E-006,  -174.65, 1.57618E-012,   -62.92,    137.141,   155.12,    137.141,    35.12,    137.141,   -84.88, 7.84097E-005,     5.35, 5.65425E-011,   -64.26
Transformer.T_FZ4318,   0.388493,   -24.74,   0.388493,  -144.74,   0.388493,    95.26, 1.46191E-007,  -175.67, 1.08279E-013,   -65.01,    14.1084,   155.26,    14.1084,    35.26,    14.1084,   -84.74, 5.30905E-006,     4.33, 3.82607E-012,   -64.01
Transformer.T_FF3486,    1.10248,   -25.02,    1.10248,  -145.02,    1.10248,    94.98, 8.07658E-007,  -173.45, 5.90483E-013,   -61.82,    40.0373,   154.98,    40.0373,    34.98,    40.0373,   -85.02, 2.93308E-005,     6.55, 2.09472E-011,   -63.23
Transformer.T_FZ8025,     3.6748,   -25.02,     3.6748,  -145.02,     3.6748,    94.98, 2.69249E-006,  -173.45, 1.9618E-012,   -61.44,    133.453,   154.98,    133.453,    34.98,    133.453,   -85.02, 9.778E-005,     6.55, 7.02677E-011,   -62.85
Transformer.T_FP0718,    2.86078,   -24.83,    2.86078,  -144.83,    2.86078,    95.17, 1.5082E-006,  -174.29, 1.09843E-012,   -61.61,    103.891,   155.17,    103.891,    35.17,    103.891,   -84.83, 5.47714E-005,     5.71, 3.91519E-011,   -62.69
Transformer.T_FT7047,   0.366774,   -25.03,   0.366774,  -145.03,   0.366774,    94.97, 2.68934E-007,  -173.61, 1.97672E-013,   -62.00,    13.3197,   154.97,    13.3197,    34.97,    13.3197,   -85.03, 9.76656E-006,     6.39, 7.02259E-012,   -63.43
Transformer.T_FP8333,    5.53504,   -25.00,    5.53503,  -145.00,    5.53504,    95.00, 3.97412E-006,  -173.47, 2.90573E-012,   -61.68,    201.009,   155.00,    201.009,    35.00,    201.009,   -85.00, 0.000144323,     6.53, 1.03215E-010,   -62.87
Transformer.T_FP5552,     5.5121,   -25.02,     5.5121,  -145.02,     5.5121,    94.98, 4.05425E-006,  -173.30, 2.97551E-012,   -61.78,    200.176,   154.98,    200.176,    34.98,    200.176,   -85.02, 0.000147233,     6.70, 1.04238E-010,   -62.60
Transformer.T_FT6849,     5.5373,   -25.00,     5.5373,  -145.00,     5.5373,    95.00, 3.95438E-006,  -173.76, 2.90863E-012,   -61.87,    201.091,   155.00,    201.091,    35.00,    201.091,   -85.00, 0.000143606,     6.24, 1.03922E-010,   -63.21
Transformer.T_FM1129,    3.66788,   -25.03,    3.66788,  -145.03,    3.66788,    94.97, 2.70257E-006,  -173.51, 1.98704E-012,   -61.60,    133.202,   154.97,    133.202,    34.97,    133.202,   -85.03, 9.81458E-005,     6.49, 6.92509E-011,   -62.85
Transformer.T_FZ3915,    0.50428,   -24.87,    0.50428,  -144.87,    0.50428,    95.13, 2.83843E-007,  -174.66, 2.07836E-013,   -61.68,    18.3133,   155.13,    18.3133,    35.13,    18.3133,   -84.87, 1.0308E-005,     5.34, 7.28533E-012,   -64.83
Transformer.T_FP8288,      2.747,   -25.04,      2.747,  -145.04,      2.747,    94.96, 2.06781E-006,  -172.37, 1.52659E-012,   -61.05,    99.7593,   154.96,    99.7592,    34.96,    99.7593,   -85.04, 7.50943E-005,     7.63, 5.40083E-011,   -62.14
Transformer.T_FIC1374,    5.49354,   -25.04,    5.49354,  -145.04,    5.49354,    94.96, 4.13627E-006,  -172.35, 3.03455E-012,   -60.85,    199.502,   154.96,    199.502,    34.96,    199.502,   -85.04, 0.000150212,     7.65, 1.0862E-010,   -62.31
Transformer.T_FT1737,   0.510194,   -24.82,   0.510193,  -144.82,   0.510194,    95.18, 2.48597E-007,  -174.67, 1.81558E-013,   -62.31,    18.5281,   155.18,    18.5281,    35.18,    18.5281,   -84.82, 9.02801E-006,     5.33, 6.4959E-012,   -64.33
Transformer.T_FX9286,   0.491684,   -25.00,   0.491683,  -145.00,   0.491684,    95.00, 3.5779E-007,  -172.98, 2.63202E-013,   -60.93,    17.8559,   155.00,    17.8559,    35.00,    17.8559,   -85.00, 1.29934E-005,     7.02, 9.23041E-012,   -62.09
Transformer.T_FT6845,    1.10129,   -25.03,    1.10129,  -145.03,    1.10129,    94.97, 8.15933E-007,  -173.03, 5.93019E-013,   -61.36,     39.994,   154.97,     39.994,    34.97,     39.994,   -85.03, 2.96313E-005,     6.97, 2.11534E-011,   -62.47
Transformer.T_FT6887,   0.370511,   -24.98,    0.37051,  -144.98,   0.370511,    95.02, 2.57219E-007,  -174.03, 1.88411E-013,   -61.26,    13.4554,   155.02,    13.4554,    35.02,    13.4554,   -84.98, 9.3411E-006,     5.97, 6.73668E-012,   -63.16
Transformer.T_FX9322,   0.508503,   -24.83,   0.508503,  -144.83,   0.508503,    95.17, 2.6837E-007,  -174.15, 1.96777E-013,   -61.12,    18.4667,   155.17,    18.4667,    35.17,    18.4667,   -84.83, 9.74607E-006,     5.85, 6.9153E-012,   -62.59
Transformer.T_FF1104,    3.82658,   -24.82,    3.82658,  -144.82,    3.82658,    95.18, 1.86031E-006,  -174.68, 1.36048E-012,   -61.96,    138.965,   155.18,    138.965,    35.18,    138.965,   -84.82, 6.75587E-005,     5.32, 4.92205E-011,   -64.26
Transformer.T_FX5030,    2.75029,   -25.03,    2.75028,  -145.03,    2.75029,    94.97, 2.01495E-006,  -173.64, 1.49549E-012,   -62.10,    99.8787,   154.97,    99.8787,    34.97,    99.8788,   -85.03, 7.31746E-005,     6.36, 5.30285E-011,   -63.38
