Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_171898, 5.20625E-009,  -100.30, 5.30936E-009,  -164.74, 3.83994E-009,   -75.96,          0,     0.00, 1.14538E-008,  -116.57, 3.75428E-009,    82.87, 2.0825E-009,    26.57, 3.75428E-009,    82.87,          0,     0.00, 8.8353E-009,    71.57
Line.L_CEI_MT_171900, 1.91997E-009,   104.04, 1.47255E-009,    18.43, 3.83994E-009,    75.96,          0,     0.00, 6.33368E-009,    72.90, 1.47255E-009,   -71.57, 4.29318E-009,  -167.47, 7.46512E-009,   -86.42,          0,     0.00, 1.03079E-008,  -108.43
Line.L_CEI_MT_171901, 3.35793E-009,   123.69, 2.71525E-009,    30.96, 3.83994E-009,    75.96,          0,     0.00, 8.03856E-009,    79.99, 2.98169E-009,   -51.34, 2.71525E-009,  -120.96, 3.75428E-009,   -97.13,          0,     0.00, 8.3819E-009,   -90.00
Line.L_CEI_MT_171903, 1.04125E-009,   -63.43, 1.31709E-009,   -45.00, 2.32831E-009,    53.13,          0,     0.00, 2.79397E-009,     0.00, 1.47255E-009,   108.43, 2.37442E-009,  -168.69, 2.32831E-009,  -126.87,          0,     0.00, 4.29318E-009,  -167.47
Line.L_CEI_MT_171909,    228.583,   138.40,    228.583,    18.40,    228.583,  -101.60,          0,     0.00, 3.0478E-005,    99.90,    228.583,   -41.60,    228.583,  -161.60,    228.583,    78.40,          0,     0.00, 3.04792E-005,   -80.10
Line.L_CEI_MT_171910,    228.583,   -41.60,    228.583,  -161.60,    228.583,    78.40,          0,     0.00, 3.0475E-005,   -80.10,    228.583,   138.40,    228.583,    18.40,    228.583,  -101.60,          0,     0.00, 3.04746E-005,    99.90
Line.L_CEI_MT_171911, 2.0825E-009,  -116.57, 3.29272E-009,  -171.87, 9.31323E-010,   180.00,          0,     0.00, 5.62661E-009,  -155.56, 9.31323E-010,     0.00, 3.25963E-009,     0.00, 2.32831E-009,    53.13,          0,     0.00, 5.8902E-009,    18.43
Line.L_CEI_MT_171919, 1.91997E-009,  -104.04, 1.97563E-009,   -45.00, 1.86265E-009,    90.00,          0,     0.00, 1.67897E-009,   -56.31, 4.65661E-010,    90.00, 1.86265E-009,    90.00, 1.91997E-009,  -104.04,          0,     0.00, 6.58545E-010,   135.00
Line.L_CEI_MT_171921, 1.04125E-009,   116.57, 2.0825E-009,    26.57, 2.32831E-009,   -53.13,          0,     0.00, 2.79397E-009,     0.00, 2.0825E-009,    26.57, 4.65661E-010,   180.00, 1.31709E-009,  -135.00,          0,     0.00, 4.65661E-010,     0.00
Line.L_CEI_MT_171953, 6.78013E-009,   105.95, 4.29318E-009,    77.47, 8.58637E-009,   139.40,          0,     0.00, 1.79204E-008,   114.57, 6.48591E-009,   -68.96, 2.79397E-009,   -90.00,  8.33E-009,   -26.57,          0,     0.00, 1.59281E-008,   -52.13
Line.L_CEI_MT_171954, 1.39698E-009,   180.00, 2.32831E-009,   126.87, 1.04125E-009,    63.43,          0,     0.00, 3.63693E-009,   129.81, 2.98169E-009,   -51.34, 1.97563E-009,   -45.00, 3.75428E-009,   -82.87,          0,     0.00,  8.33E-009,   -63.43
Line.L_CEI_MT_171955, 5.4305E-009,   120.96, 1.31709E-009,    45.00, 3.83994E-009,   104.04,          0,     0.00, 9.72329E-009,   106.70, 5.62661E-009,   -65.56, 1.04125E-009,    26.57, 3.35793E-009,   -56.31,          0,     0.00, 9.04151E-009,   -55.49
Line.L_CEI_MT_171958, 2.0825E-009,   116.57, 4.74883E-009,   -11.31, 4.74883E-009,    78.69,          0,     0.00, 7.27386E-009,    50.19, 2.32831E-009,   -90.00, 4.21674E-009,   173.66, 5.58794E-009,   -90.00,          0,     0.00, 8.5484E-009,  -119.36
