Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_171898, 1.03394E-008,    35.84, 1.2329E-008,    10.89, 1.06289E-008,  -118.81,          0,     0.00, 1.5395E-008,    -3.47, 9.96559E-009,  -142.59, 1.40646E-008,  -173.35, 1.11078E-008,    56.98,          0,     0.00, 1.59162E-008,   174.12
Line.L_CEI_MT_171900, 6.12482E-009,   -98.75, 7.92993E-009,  -176.63, 6.0536E-009,    67.38,          0,     0.00, 6.58545E-009,  -171.87, 4.21674E-009,    83.66, 6.53587E-009,     4.09, 3.97861E-009,  -110.56,          0,     0.00, 5.66501E-009,     9.46
Line.L_CEI_MT_171901, 4.42378E-009,   -90.00, 4.68563E-009,  -153.43, 1.86265E-009,    90.00,          0,     0.00, 6.26483E-009,  -131.99, 4.19741E-009,   109.44, 5.82077E-009,    36.87, 1.86265E-009,   -90.00,          0,     0.00, 6.46917E-009,    59.74
Line.L_CEI_MT_171903, 1.47255E-009,   161.57, 4.65661E-010,   -90.00, 3.72529E-009,    90.00,          0,     0.00, 3.97861E-009,   110.56, 2.0825E-009,   -63.43, 2.98169E-009,    38.66, 9.31323E-010,   180.00,          0,     0.00, 2.32831E-009,     0.00
Line.L_CEI_MT_171909,    229.954,   138.34,    229.954,    18.34,    229.954,  -101.66,          0,     0.00, 8.04562E-005,   162.16,    229.954,   -41.66,    229.954,  -161.66,    229.954,    78.34,          0,     0.00, 8.0458E-005,   -17.84
Line.L_CEI_MT_171910,    229.954,   -41.66,    229.954,  -161.66,    229.954,    78.34,          0,     0.00, 8.04515E-005,   -17.84,    229.954,   138.34,    229.954,    18.34,    229.954,  -101.66,          0,     0.00, 8.04495E-005,   162.16
Line.L_CEI_MT_171911, 4.29318E-009,   139.40, 2.71525E-009,    59.04, 1.86265E-009,   180.00,          0,     0.00, 6.33368E-009,   126.03, 5.43549E-009,   -46.74, 2.9451E-009,  -161.57, 1.86265E-009,     0.00,          0,     0.00, 5.63142E-009,   -60.26
Line.L_CEI_MT_171919, 2.14659E-009,  -102.53, 1.25383E-009,  -111.80, 1.86265E-009,   180.00,          0,     0.00, 4.29318E-009,  -130.60, 1.39698E-009,    90.00, 4.39304E-009,   147.99, 9.31323E-010,     0.00,          0,     0.00, 4.65661E-009,   126.87
Line.L_CEI_MT_171921, 2.9451E-009,  -108.43, 2.0825E-009,   -26.57,          0,     0.00,          0,     0.00, 3.83994E-009,   -75.96, 3.46128E-009,    47.73, 2.09548E-009,    90.00, 9.31323E-010,     0.00,          0,     0.00, 5.68412E-009,    55.01
Line.L_CEI_MT_171953, 8.95717E-009,  -117.90, 1.34398E-008,  -165.96, 1.27101E-008,    61.56,          0,     0.00, 1.11759E-008,   180.00, 8.58953E-009,    57.17, 1.03079E-008,    18.43, 1.06289E-008,  -118.81,          0,     0.00, 9.3857E-009,     7.13
